source_key,content_hash,bytes
27aaafc74e167de0,a12d3b2ff3f317c4a62d0d054c46d967,5001
56e8526e1332a1fe,56aeb31be165e1ee2a568f4c909503e8,6728
4c95fbe98dd4e73b,43360c4da7b0e6567389911f5c746948,2721
aa4846f98b77cfc9,e32b60dd39490ce8bf8a2d753b4d97be,1172
bc39a02cda782444,a3a0c5345a7a0bb8890816f07e77b6fb,15110
4e1a7ac671e029e0,7b5228ddc08b7f1a94119524a67f3688,9429
2846f43d75deed56,289b56bacfa2d14ce92130b6f5710cfa,2807
ef20a306f80034ac,fb402176654925a446b1bcdfe9e809cb,2809
a61e67ee5d1ffa45,189a36ca8ce905fff379f4c3b0cdadac,880
769ba6bd2a2136fa,eeb79284c869d29662e41c5226351777,4155
d747042823df24eb,3c1fc656fecb8400f5a53899260a56ae,4223
cbdb4990e3fdf8bb,c628984ca9a297efaa90becdda5d1fcd,13916
7899c3aa071a4acd,1d732997ccd2ebc099c76ba39097f425,4944
4a9b4ecde0128c01,0a7b4c8113b2730bdb223c1202a37892,455
aad5513357caf590,336e4aee275b37f058bc342ecd190cfd,725
d1383c99d1bf2a7d,b737764304adfcd070a9e9d46540ff74,7324
cd46d62b09c448cd,09325526c304402ea8c1512ef855c115,4200
11531a3f5bef6b4a,3a07c15a5bb26b74372dc6e5fbb7f3b0,6754
700f78cd7d05f81a,0c510750af4b24e85f216363f440d0e8,8699
a2a395f68c3c07a5,3d571313dd7f45fdf38c3c9ef5212d8b,7597
965c2815914a312e,1b55d63bf53f1525c214cf8c702434c9,9962
76a3ea7095b23456,7a0030a89afae8deabd8c72297a2360b,2330
ec3ae50daa8edce7,5c4c7ea790ac7f81166e58d432432258,5846
6146826e94b5211e,eaef26b30ac7dca67ea62238f5ff93b8,6421
4d582ea5c2311d75,f06fecc72e9c9beae57dbd1083906fed,7155
3c564dec89b08ac3,d6eb215937c48f2d53beedfe23b102a8,9694
bec7b7a6484fd94c,11584db2f7f0175e88bb8606d10506dc,4659
ef6b6330e99edb67,fe922aac39d526289bc85b0e4d351dd1,1061
518cd41c176dd02e,3ed3acd314dca0812bf839f7f771d7fd,2200
ab96de69c1e842bf,ec9afbd41cd798103b28a2605368f07c,1372
8c21fb443747f7e6,c485040afd4286f68d4ba54807bdcfdd,8126
ead1f72372275f31,4432a9163c250c574c56256e4f8ad5e2,1216
19c1fc6e9a25f9b1,734d541a647602fa0b67f284bd0b0284,575
eb9508c6d2e2e020,a48ee4aa54662ca4cc89bf5d31eff8a1,3278
80fe6bb7a67319c4,ba2a672161c58a9dd9b1729848450590,10416
5b3a4719a698c788,d982f677cb39b20c005c4c08035f32a4,17122
95e88781b0a23122,34f03697bf25bae300d273051f3e5590,5974
7ee9a206b998733b,720d177ba80a240ef3c4b92c84e628b5,1036
